;DMP_0.5;DMP_0.51;DMP_0.52;DMP_0.53;DMP_0.54;DMP_0.55;DMP_0.56;DMP_0.57;DMP_0.58;DMP_0.59;DMP_0.6;DMP_0.61;DMP_0.62;DMP_0.63;DMP_0.64;DMP_0.65;DMP_0.66;DMP_0.67;DMP_0.68;DMP_0.69;DMP_0.7;DMP_0.71;DMP_0.72;DMP_0.73;DMP_0.74;DMP_0.75;DMP_0.76;DMP_0.77;DMP_0.78;DMP_0.79;DMP_0.8;DMP_0.81;DMP_0.82;DMP_0.83;DMP_0.84;DMP_0.85;DMP_0.86;DMP_0.87;DMP_0.88;DMP_0.89;DMP_0.9;DMP_0.91;DMP_0.92;DMP_0.93;DMP_0.94;DMP_0.95;DMP_0.96;DMP_0.97;DMP_0.98
P_660;0,008889;0,008889;0,009901;0,008889;0,009901;0,011765;0,009901;0,011765;0,011765;0,010811;0,008889;0,007692;0,008889;0,008889;0,008889;0,007692;0,008889;0,008889;0,007692;0,008889;0,009901;0,009901;0,009901;0,008889;0,009901;0,008889;0,009901;0,008889;0,008889;0,010811;0,007692;0,008889;0,009901;0,008889;0,008889;0,008889;0,007692;0,007692;0,008889;0,008889;0,008889;0,008889;0,008889;0,009901;0,008889;0,007692;0,008889;0,008889;0,008889
P_665;0,008889;0,008889;0,008889;0,007692;0,010811;0,008889;0,009901;0,008889;0,009901;0,009901;0,009901;0,008889;0,008889;0,010811;0,009901;0,009901;0,008889;0,009901;0,008889;0,008889;0,010811;0,011765;0,008889;0,011765;0,010811;0,008889;0,008889;0,009901;0,007692;0,008889;0,008889;0,009901;0,008889;0,008889;0,008889;0,008889;0,010811;0,009901;0,008889;0,008889;0,007692;0,008889;0,009901;0,008889;0,008889;0,009901;0,009901;0,008889;0,009901
P_670;0,007692;0,007692;0,009901;0,007692;0,008889;0,009901;0,008889;0,009901;0,009901;0,010811;0,009901;0,008889;0,011765;0,008889;0,008889;0,011765;0,011765;0,008889;0,007692;0,007692;0,008889;0,009901;0,008889;0,007692;0,008889;0,011765;0,007692;0,008889;0,008889;0,008889;0,008889;0,008889;0,008889;0,007692;0,008889;0,009901;0,007692;0,008889;0,009901;0,007692;0,008889;0,008889;0,007692;0,008889;0,009901;0,009901;0,010811;0,007692;0,009901
P_675;0,009901;0,007692;0,007692;0,008889;0,008889;0,008889;0,009901;0,008889;0,009901;0,008889;0,008889;0,007692;0,009901;0,008889;0,007692;0,009901;0,009901;0,008889;0,008889;0,010811;0,008889;0,008889;0,009901;0,010811;0,008889;0,009901;0,008889;0,010811;0,008889;0,008889;0,008889;0,008889;0,008889;0,008889;0,007692;0,008889;0,010811;0,008889;0,009901;0,010811;0,009901;0,007692;0,009901;0,008889;0,008889;0,008889;0,008889;0,008889;0,008889
P_680;0,007692;0,009901;0,008889;0,008889;0,008889;0,009901;0,008889;0,008889;0,008889;0,008889;0,008889;0,008889;0,008889;0,008889;0,008889;0,007692;0,009901;0,008889;0,011765;0,008889;0,008889;0,008889;0,008889;0,008889;0,007692;0,008889;0,008889;0,009901;0,008889;0,007692;0,008889;0,008889;0,008889;0,008889;0,008889;0,007692;0,008889;0,008889;0,008889;0,008889;0,009901;0,008889;0,008889;0,009901;0,008889;0,008889;0,009901;0,008889;0,008889
P_685;0,008889;0,009901;0,009901;0,007692;0,007692;0,008889;0,008889;0,008889;0,008889;0,007692;0,009901;0,008889;0,009901;0,008889;0,008889;0,008889;0,008889;0,008889;0,009901;0,007692;0,007692;0,008889;0,010811;0,008889;0,008889;0,008889;0,008889;0,008889;0,007692;0,008889;0,009901;0,009901;0,008889;0,007692;0,008889;0,008889;0,008889;0,008889;0,008889;0,008889;0,008889;0,008889;0,007692;0,007692;0,008889;0,009901;0,007692;0,007692;0,008889
P_690;0,008889;0,008889;0,009901;0,008889;0,008889;0,008889;0,008889;0,010811;0,009901;0,008889;0,008889;0,010811;0,007692;0,009901;0,009901;0,009901;0,009901;0,007692;0,009901;0,007692;0,008889;0,009901;0,007692;0,008889;0,008889;0,008889;0,008889;0,009901;0,008889;0,008889;0,008889;0,008889;0,008889;0,009901;0,008889;0,008889;0,008889;0,008889;0,008889;0,008889;0,007692;0,008889;0,008889;0,008889;0,008889;0,009901;0,009901;0,008889;0,008889
P_695;0,008889;0,008889;0,008889;0,009901;0,008889;0,008889;0,008889;0,008889;0,008889;0,008889;0,007692;0,009901;0,010811;0,008889;0,009901;0,008889;0,007692;0,008889;0,008889;0,008889;0,009901;0,007692;0,009901;0,008889;0,008889;0,010811;0,007692;0,008889;0,008889;0,009901;0,008889;0,010811;0,008889;0,009901;0,008889;0,008889;0,007692;0,008889;0,007692;0,009901;0,008889;0,007692;0,008889;0,008889;0,009901;0,008889;0,008889;0,009901;0,009901
P_700;0,007692;0,007692;0,009901;0,008889;0,009901;0,009901;0,009901;0,008889;0,009901;0,008889;0,008889;0,008889;0,009901;0,008889;0,008889;0,008889;0,008889;0,008889;0,008889;0,007692;0,007692;0,008889;0,008889;0,009901;0,007692;0,008889;0,008889;0,008889;0,008889;0,008889;0,008889;0,009901;0,008889;0,007692;0,008889;0,009901;0,008889;0,008889;0,009901;0,008889;0,008889;0,009901;0,010811;0,007692;0,009901;0,008889;0,008889;0,009901;0,007692
P_705;0,009901;0,007692;0,008889;0,009901;0,008889;0,009901;0,008889;0,007692;0,008889;0,009901;0,008889;0,008889;0,008889;0,009901;0,008889;0,010811;0,008889;0,008889;0,008889;0,007692;0,007692;0,008889;0,008889;0,008889;0,007692;0,009901;0,008889;0,008889;0,009901;0,008889;0,008889;0,008889;0,008889;0,008889;0,009901;0,009901;0,009901;0,008889;0,008889;0,008889;0,008889;0,008889;0,008889;0,008889;0,008889;0,007692;0,008889;0,007692;0,012598
P_710;0,009901;0,007692;0,008889;0,010811;0,008889;0,008889;0,008889;0,008889;0,008889;0,009901;0,010811;0,008889;0,007692;0,008889;0,009901;0,008889;0,008889;0,007692;0,010811;0,008889;0,010811;0,007692;0,008889;0,008889;0,008889;0,009901;0,008889;0,007692;0,008889;0,008889;0,008889;0,009901;0,008889;0,009901;0,008889;0,008889;0,010811;0,009901;0,008889;0,008889;0,009901;0,008889;0,008889;0,009901;0,008889;0,009901;0,008889;0,009901;0,008889
P_715;0,008889;0,008889;0,008889;0,008889;0,009901;0,008889;0,008889;0,009901;0,009901;0,009901;0,008889;0,008889;0,010811;0,007692;0,009901;0,008889;0,008889;0,009901;0,007692;0,009901;0,008889;0,009901;0,008889;0,008889;0,008889;0,008889;0,008889;0,008889;0,007692;0,009901;0,008889;0,009901;0,009901;0,008889;0,007692;0,009901;0,008889;0,008889;0,008889;0,009901;0,009901;0,008889;0,009901;0,009901;0,009901;0,008889;0,007692;0,009901;0,008889
P_720;0,008889;0,007692;0,007692;0,009901;0,007692;0,008889;0,008889;0,008889;0,008889;0,008889;0,008889;0,008889;0,011765;0,008889;0,008889;0,008889;0,008889;0,007692;0,009901;0,008889;0,008889;0,008889;0,2;0,008889;0,007692;0,008889;0,009901;0,009901;0,008889;0,008889;0,008889;0,009901;0,008889;0,009901;0,010811;0,008889;0,007692;0,009901;0,008889;0,009901;0,007692;0,009901;0,008889;0,010811;0,008889;0,008889;0,007692;0,007692;0,009901
P_725;0,007692;0,009901;0,007692;0,009901;0,009901;0,007692;0,007692;0,008889;0,008889;0,009901;0,008889;0,011765;0,008889;0,009901;0,008889;0,007692;0,008889;0,008889;0,008889;0,008889;0,008889;0,008889;0,008889;0,008889;0,008889;0,009901;0,009901;0,008889;0,009901;0,009901;0,008889;0,010811;0,007692;0,007692;0,008889;0,008889;0,007692;0,008889;0,009901;0,009901;0,008889;0,010811;0,007692;0,008889;0,007692;0,008889;0,008889;0,008889;0,011765
P_730;0,008889;0,008889;0,010811;0,008889;0,008889;0,007692;0,007692;0,008889;0,010811;0,007692;0,008889;0,008889;0,007692;0,009901;0,008889;0,008889;0,007692;0,008889;0,009901;0,009901;0,008889;0,009901;0,010811;0,008889;0,008889;0,008889;0,008889;0,007692;0,008889;0,007692;0,008889;0,011765;0,008889;0,009901;0,007692;0,009901;0,008889;0,009901;0,009901;0,008889;0,007692;0,008889;0,007692;0,008889;0,008889;0,008889;0,008889;0,008889;0,007692
P_735;0,010811;0,008889;0,009901;0,008889;0,009901;0,007692;0,009901;0,008889;0,008889;0,008889;0,008889;0,008889;0,007692;0,008889;0,008889;0,008889;0,008889;0,010811;0,008889;0,009901;0,008889;0,008889;0,009901;0,008889;0,009901;0,008889;0,010811;0,008889;0,007692;0,008889;0,008889;0,007692;0,007692;0,008889;0,008889;0,009901;0,009901;0,009901;0,008889;0,009901;0,008889;0,007692;0,008889;0,007692;0,010811;0,008889;0,008889;0,008889;0,009901
P_740;0,008889;0,009901;0,008889;0,010811;0,009901;0,008889;0,007692;0,008889;0,009901;0,007692;0,008889;0,008889;0,008889;0,007692;0,008889;0,008889;0,009901;0,008889;0,009901;0,007692;0,008889;0,007692;0,009901;0,009901;0,009901;0,007692;0,008889;0,008889;0,008889;0,008889;0,009901;0,008889;0,008889;0,008889;0,008889;0,009901;0,008889;0,008889;0,008889;0,009901;0,008889;0,007692;0,007692;0,008889;0,008889;0,008889;0,008889;0,009901;0,009901
P_745;0,008889;0,007692;0,008889;0,007692;0,008889;0,008889;0,008889;0,008889;0,008889;0,007692;0,008889;0,009901;0,008889;0,007692;0,008889;0,008889;0,008889;0,008889;0,008889;0,007692;0,008889;0,008889;0,007692;0,008889;0,009901;0,008889;0,007692;0,009901;0,008889;0,007692;0,010811;0,007692;0,009901;0,008889;0,008889;0,009901;0,008889;0,009901;0,007692;0,007692;0,008889;0,007692;0,008889;0,008889;0,008889;0,008889;0,009901;0,009901;0,007692
P_750;0,008889;0,008889;0,007692;0,008889;0,007692;0,009901;0,009901;0,008889;0,010811;0,008889;0,008889;0,009901;0,009901;0,007692;0,009901;0,008889;0,008889;0,008889;0,008889;0,008889;0,010811;0,008889;0,007692;0,008889;0,009901;0,008889;0,008889;0,008889;0,008889;0,007692;0,008889;0,008889;0,007692;0,008889;0,010811;0,008889;0,008889;0,007692;0,008889;0,008889;0,009901;0,008889;0,007692;0,009901;0,008889;0,008889;0,007692;0,008889;0,007692
P_755;0,009901;0,008889;0,008889;0,008889;0,007692;0,008889;0,009901;0,008889;0,008889;0,009901;0,007692;0,009901;0,008889;0,007692;0,008889;0,007692;0,008889;0,007692;0,008889;0,007692;0,007692;0,009901;0,007692;0,008889;0,009901;0,007692;0,007692;0,009901;0,009901;0,008889;0,010811;0,008889;0,009901;0,007692;0,007692;0,008889;0,008889;0,008889;0,008889;0,008889;0,008889;0,008889;0,010811;0,008889;0,008889;0,008889;0,008889;0,007692;0,011765
P_760;0,008889;0,007692;0,009901;0,008889;0,010811;0,007692;0,007692;0,007692;0,009901;0,008889;0,008889;0,008889;0,007692;0,008889;0,007692;0,008889;0,008889;0,008889;0,008889;0,008889;0,009901;0,008889;0,007692;0,009901;0,007692;0,008889;0,007692;0,008889;0,007692;0,007692;0,011765;0,008889;0,010811;0,008889;0,010811;0,008889;0,008889;0,008889;0,009901;0,007692;0,007692;0,009901;0,007692;0,008889;0,008889;0,009901;0,008889;0,009901;0,008889
P_765;0,009901;0,007692;0,008889;0,009901;0,007692;0,010811;0,007692;0,008889;0,007692;0,008889;0,007692;0,008889;0,008889;0,008889;0,010811;0,008889;0,009901;0,009901;0,008889;0,007692;0,008889;0,008889;0,009901;0,008889;0,007692;0,008889;0,008889;0,009901;0,009901;0,008889;0,008889;0,008889;0,008889;0,010811;0,008889;0,008889;0,007692;0,007692;0,008889;0,008889;0,008889;0,008889;0,009901;0,008889;0,008889;0,008889;0,008889;0,008889;0,007692
P_770;0,008889;0,007692;0,008889;0,007692;0,007692;0,007692;0,008889;0,007692;0,008889;0,008889;0,009901;0,008889;0,007692;0,008889;0,008889;0,010811;0,008889;0,008889;0,008889;0,008889;0,008889;0,008889;0,007692;0,007692;0,008889;0,007692;0,008889;0,008889;0,008889;0,007692;0,008889;0,008889;0,009901;0,008889;0,007692;0,008889;0,007692;0,008889;0,008889;0,007692;0,007692;0,008889;0,008889;0,008889;0,008889;0,008889;0,007692;0,007692;0,008889
P_775;0,008889;0,010811;0,009901;0,009901;0,008889;0,008889;0,008889;0,008889;0,007692;0,008889;0,008889;0,008889;0,007692;0,009901;0,010811;0,009901;0,008889;0,008889;0,009901;0,008889;0,008889;0,008889;0,009901;0,010811;0,008889;0,008889;0,007692;0,008889;0,007692;0,008889;0,007692;0,008889;0,008889;0,007692;0,008889;0,008889;0,008889;0,007692;0,008889;0,008889;0,007692;0,010811;0,009901;0,008889;0,009901;0,008889;0,008889;0,008889;0,010811
P_780;0,009901;0,008889;0,008889;0,010811;0,007692;0,008889;0,009901;0,007692;0,008889;0,008889;0,007692;0,009901;0,008889;0,008889;0,008889;0,009901;0,008889;0,007692;0,008889;0,007692;0,008889;0,009901;0,007692;0,008889;0,007692;0,007692;0,008889;0,008889;0,007692;0,008889;0,008889;0,009901;0,008889;0,008889;0,009901;0,008889;0,008889;0,007692;0,009901;0,010811;0,008889;0,007692;0,007692;0,008889;0,008889;0,009901;0,009901;0,009901;0,007692
