;DMP_0.5;DMP_0.51;DMP_0.52;DMP_0.53;DMP_0.54;DMP_0.55;DMP_0.56;DMP_0.57;DMP_0.58;DMP_0.59;DMP_0.6;DMP_0.61;DMP_0.62;DMP_0.63;DMP_0.64;DMP_0.65;DMP_0.66;DMP_0.67;DMP_0.68;DMP_0.69;DMP_0.7;DMP_0.71;DMP_0.72;DMP_0.73;DMP_0.74;DMP_0.75;DMP_0.76;DMP_0.77;DMP_0.78;DMP_0.79;DMP_0.8;DMP_0.81;DMP_0.82;DMP_0.83;DMP_0.84;DMP_0.85;DMP_0.86;DMP_0.87;DMP_0.88;DMP_0.89;DMP_0.9;DMP_0.91;DMP_0.92;DMP_0.93;DMP_0.94;DMP_0.95;DMP_0.96;DMP_0.97;DMP_0.98
60;0,025740;0,027578;0,029900;0,029379;0,026961;0,031546;0,026316;0,029379;0,028736;0,026316;0,028736;0,028736;0,024390;0,028169;0,028169;0,026316;0,026961;0,030402;0,029379;0,026961;0,030983;0,026961;0,026316;0,025740;0,026316;0,026316;0,028169;0,028169;0,029379;0,333333;0,333333;0,033531;0,025740;0,027578;0,028736;0,030402;0,028169;0,028169;0,025740;0,029379;0,028169;0,027578;0,029379;0,034014;0,035481;0,026961;0,032520;0,031546;0,031546
65;0,025033;0,026961;0,026961;0,025033;0,027578;0,026961;0,024390;0,028169;0,025033;0,026316;0,025740;0,022989;0,023710;0,026961;0,026961;0,025740;0,025740;0,026316;0,023710;0,024390;0,030983;0,026316;0,025033;0,025033;0,025740;0,029379;0,025740;0,029379;0,026316;0,032520;0,026316;0,025740;0,032091;0,025740;0,030402;0,025740;0,025033;0,027578;0,025033;0,028169;0,029379;0,025740;0,025740;0,027578;0,024390;0,030402;0,028169;0,028169;0,023710
70;0,025033;0,026961;0,025740;0,025740;0,026961;0,028736;0,025740;0,026316;0,029379;0,026316;0,024390;0,024390;0,028169;0,023710;0,025033;0,023710;0,022989;0,026316;0,023710;0,025740;0,026316;0,028169;0,023710;0,024390;0,024390;0,025740;0,029379;0,022989;0,026316;0,026961;0,029379;0,023710;0,026316;0,025740;0,028736;0,025033;0,026961;0,025740;0,026961;0,025740;0,027578;0,022989;0,026961;0,028736;0,027578;0,027578;0,025033;0,026316;0,025033
75;0,021505;0,024390;0,024390;0,025033;0,022222;0,024390;0,022222;0,022989;0,024390;0,026316;0,025033;0,022989;0,025033;0,021505;0,022989;0,026316;0,022989;0,025740;0,022222;0,026316;0,023710;0,026961;0,023710;0,026316;0,025033;0,025740;0,024390;0,024390;0,028169;0,025033;0,024390;0,022989;0,026961;0,028736;0,022989;0,026961;0,333333;0,333333;0,022989;0,024390;0,029379;0,025033;0,024390;0,023710;0,024390;0,025740;0,022989;0,022989;0,025740
80;0,028169;0,022222;0,022989;0,023710;0,024390;0,022989;0,022222;0,022222;0,022222;0,025033;0,023710;0,025740;0,025740;0,022989;0,023710;0,022989;0,025740;0,023710;0,024390;0,025740;0,026961;0,025740;0,025740;0,023710;0,022222;0,025740;0,021505;0,022989;0,025033;0,021505;0,028169;0,024390;0,026961;0,023710;0,025740;0,022989;0,025740;0,023710;0,024390;0,022222;0,025740;0,025033;0,022989;0,025033;0,022989;0,028169;0,024390;0,026961;0,025740
85;0,021505;0,022222;0,025033;0,023710;0,022222;0,022989;0,022222;0,022222;0,023710;0,023710;0,022222;0,022989;0,020734;0,020734;0,023710;0,025740;0,027578;0,022222;0,021505;0,022222;0,020734;0,022989;0,021505;0,022222;0,022989;0,021505;0,026961;0,026961;0,022222;0,021505;0,026961;0,022989;0,024390;0,024390;0,021505;0,024390;0,021505;0,024390;0,025033;0,023710;0,025740;0,020734;0,024390;0,023710;0,022989;0,025033;0,025033;0,026316;0,021505
90;0,028736;0,022989;0,019900;0,022222;0,021505;0,022989;0,021505;0,025033;0,020734;0,019900;0,020734;0,021505;0,019900;0,021505;0,020734;0,022989;0,020734;0,020734;0,022989;0,019900;0,020734;0,020734;0,022222;0,021505;0,023710;0,023710;0,025033;0,021505;0,022222;0,020734;0,021505;0,025740;0,024390;0,025740;0,024390;0,022989;0,022989;0,020734;0,021505;0,020734;0,025033;0,020734;0,019900;0,024390;0,022222;0,022989;0,333333;0,333333;0,333333
95;0,022222;0,023710;0,022989;0,020734;0,020734;0,020734;0,021505;0,019097;0,022989;0,022989;0,020734;0,021505;0,022222;0,024390;0,021505;0,020734;0,019900;0,021505;0,022989;0,021505;0,019900;0,019900;0,019097;0,019900;0,022989;0,026961;0,021505;0,019097;0,023710;0,021505;0,022222;0,019097;0,022222;0,021505;0,020734;0,022989;0,019097;0,021505;0,019097;0,022222;0,022222;0,022989;0,020734;0,022989;0,023710;0,019900;0,021505;0,021505;0,022989
100;0,022222;0,021505;0,018116;0,021505;0,022989;0,019900;0,017241;0,018116;0,019900;0,020734;0,023710;0,019900;0,019900;0,019900;0,021505;0,020734;0,021505;0,020734;0,019097;0,020734;0,019900;0,020734;0,023710;0,019900;0,021505;0,020734;0,020734;0,019097;0,018116;0,019097;0,019900;0,020734;0,023710;0,021505;0,020734;0,022222;0,024390;0,026316;0,018116;0,017241;0,024390;0,020734;0,022989;0,022222;0,022222;0,021505;0,024390;0,022989;0,019900
105;0,018116;0,021505;0,019900;0,019097;0,019097;0,020734;0,023710;0,023710;0,019097;0,021505;0,022222;0,020734;0,019900;0,022222;0,019097;0,022989;0,020734;0,022222;0,021505;0,019097;0,019097;0,022989;0,019097;0,016260;0,020734;0,024390;0,019900;0,019900;0,019900;0,024390;0,022989;0,022989;0,019097;0,020734;0,020734;0,020734;0,020734;0,019097;0,022989;0,020734;0,020734;0,020734;0,019097;0,019900;0,020734;0,019900;0,018116;0,022989;0,018116
110;0,022989;0,024390;0,018116;0,018116;0,019097;0,022989;0,019900;0,024390;0,019900;0,020734;0,020734;0,017241;0,019097;0,017241;0,019900;0,017241;0,019900;0,019097;0,019097;0,021505;0,018116;0,019900;0,018116;0,022989;0,020734;0,018116;0,017241;0,016260;0,018116;0,020734;0,019900;0,020734;0,017241;0,024390;0,021505;0,019097;0,021505;0,019900;0,018116;0,022989;0,020734;0,020734;0,020734;0,021505;0,019900;0,021505;0,019900;0,020734;0,021505
115;0,020734;0,021505;0,019097;0,019097;0,019900;0,022222;0,018116;0,019097;0,021505;0,019097;0,021505;0,020734;0,018116;0,018116;0,017241;0,018116;0,019097;0,017241;0,017241;0,021505;0,019900;0,019900;0,019900;0,021505;0,018116;0,019097;0,020734;0,017241;0,020734;0,019900;0,019900;0,019097;0,019097;0,019900;0,022989;0,019900;0,019900;0,020734;0,017241;0,333333;0,333333;0,333333;0,019097;0,019097;0,020734;0,017241;0,019900;0,020734;0,020734
120;0,017241;0,021505;0,019900;0,016260;0,020734;0,018116;0,019097;0,019900;0,017241;0,017241;0,019097;0,018116;0,019097;0,019900;0,019900;0,018116;0,019097;0,019900;0,018116;0,018116;0,019097;0,017241;0,019097;0,019097;0,019097;0,018116;0,018116;0,019097;0,019097;0,018116;0,019097;0,019900;0,019900;0,019097;0,022222;0,019097;0,027578;0,018116;0,016260;0,019097;0,019900;0,019097;0,017241;0,016260;0,018116;0,017241;0,018116;0,019097;0,019900
125;0,018116;0,017241;0,018116;0,019097;0,020734;0,016260;0,018116;0,019097;0,022989;0,019097;0,019900;0,023710;0,017241;0,018116;0,019097;0,017241;0,017241;0,017241;0,019900;0,017241;0,019900;0,019097;0,018116;0,022222;0,018116;0,017241;0,017241;0,018116;0,020734;0,020734;0,021505;0,022989;0,018116;0,017241;0,017241;0,017241;0,018116;0,019097;0,018116;0,019097;0,019900;0,019097;0,020734;0,016260;0,018116;0,018116;0,018116;0,018116;0,018116
130;0,017241;0,015152;0,019097;0,019900;0,022222;0,019900;0,019097;0,017241;0,019097;0,018116;0,017241;0,019900;0,019097;0,018116;0,017241;0,017241;0,019097;0,019900;0,022222;0,018116;0,019900;0,017241;0,019900;0,019097;0,017241;0,017241;0,019097;0,018116;0,020734;0,018116;0,017241;0,019097;0,017241;0,017241;0,020734;0,016260;0,019900;0,019900;0,018116;0,022222;0,016260;0,019097;0,019097;0,019900;0,018116;0,018116;0,022989;0,017241;0,019900
135;0,020734;0,019097;0,017241;0,017241;0,016260;0,017241;0,019097;0,016260;0,017241;0,020734;0,018116;0,019097;0,019097;0,019097;0,016260;0,016260;0,019900;0,018116;0,016260;0,019097;0,019900;0,016260;0,017241;0,016260;0,019097;0,018116;0,017241;0,018116;0,018116;0,018116;0,017241;0,017241;0,017241;0,019900;0,021505;0,015152;0,019097;0,018116;0,018116;0,016260;0,017241;0,021505;0,017241;0,019900;0,019900;0,017241;0,017241;0,019097;0,019097
140;0,019097;0,016260;0,017241;0,018116;0,017241;0,018116;0,017241;0,016260;0,018116;0,017241;0,018116;0,017241;0,015152;0,016260;0,017241;0,019097;0,016260;0,018116;0,020734;0,333333;0,333333;0,333333;0,017241;0,017241;0,017241;0,016260;0,019097;0,019900;0,017241;0,019097;0,016260;0,017241;0,021505;0,016260;0,019097;0,016260;0,019097;0,018116;0,018116;0,017241;0,019097;0,016260;0,019097;0,018116;0,017241;0,019097;0,016260;0,017241;0,019900
145;0,018116;0,014085;0,015152;0,018116;0,017241;0,021505;0,019900;0,019097;0,016260;0,016260;0,022222;0,017241;0,019900;0,018116;0,016260;0,020734;0,019097;0,018116;0,019097;0,016260;0,016260;0,015152;0,019097;0,019097;0,018116;0,016260;0,017241;0,019097;0,018116;0,016260;0,018116;0,018116;0,015152;0,019097;0,019900;0,016260;0,016260;0,016260;0,018116;0,022989;0,020734;0,018116;0,016260;0,016260;0,016260;0,019097;0,019097;0,016260;0,019097
150;0,017241;0,017241;0,019097;0,016260;0,018116;0,017241;0,014085;0,017241;0,018116;0,019097;0,019097;0,016260;0,018116;0,019900;0,019097;0,018116;0,018116;0,015152;0,016260;0,015152;0,016260;0,015152;0,016260;0,018116;0,018116;0,018116;0,018116;0,018116;0,018116;0,016260;0,016260;0,015152;0,016260;0,017241;0,016260;0,017241;0,016260;0,015152;0,017241;0,019097;0,018116;0,016260;0,017241;0,016260;0,018116;0,018116;0,018116;0,017241;0,018116
155;0,017241;0,018116;0,018116;0,017241;0,016260;0,016260;0,016260;0,017241;0,018116;0,019900;0,017241;0,014085;0,017241;0,019900;0,017241;0,019097;0,016260;0,020734;0,016260;0,018116;0,018116;0,019900;0,017241;0,014085;0,021505;0,016260;0,019900;0,016260;0,016260;0,016260;0,019097;0,018116;0,018116;0,017241;0,014085;0,018116;0,017241;0,017241;0,018116;0,016260;0,015152;0,016260;0,017241;0,016260;0,019097;0,016260;0,018116;0,017241;0,017241
160;0,015152;0,015152;0,019097;0,015152;0,015152;0,018116;0,017241;0,016260;0,017241;0,016260;0,019097;0,017241;0,019097;0,016260;0,023710;0,016260;0,019900;0,016260;0,016260;0,016260;0,016260;0,017241;0,019900;0,016260;0,019097;0,017241;0,015152;0,016260;0,018116;0,017241;0,017241;0,019097;0,018116;0,014085;0,015152;0,016260;0,014085;0,015152;0,017241;0,018116;0,016260;0,017241;0,017241;0,015152;0,017241;0,016260;0,018116;0,015152;0,015152
165;0,016260;0,014085;0,018116;0,016260;0,015152;0,017241;0,015152;0,015152;0,017241;0,016260;0,015152;0,017241;0,016260;0,016260;0,016260;0,017241;0,016260;0,014085;0,015152;0,018116;0,016260;0,018116;0,018116;0,015152;0,015152;0,018116;0,021505;0,019097;0,017241;0,017241;0,018116;0,019097;0,020734;0,017241;0,016260;0,016260;0,019097;0,015152;0,019097;0,015152;0,019900;0,016260;0,015152;0,016260;0,016260;0,019900;0,016260;0,018116;0,016260
170;0,017241;0,017241;0,015152;0,017241;0,018116;0,015152;0,015152;0,014085;0,015152;0,016260;0,014085;0,015152;0,014085;0,016260;0,016260;0,017241;0,017241;0,015152;0,014085;0,333333;0,018116;0,015152;0,016260;0,015152;0,020734;0,017241;0,015152;0,016260;0,017241;0,017241;0,014085;0,015152;0,018116;0,015152;0,016260;0,016260;0,016260;0,016260;0,016260;0,018116;0,016260;0,017241;0,015152;0,019097;0,016260;0,017241;0,017241;0,016260;0,015152
175;0,017241;0,016260;0,016260;0,014085;0,014085;0,017241;0,016260;0,016260;0,016260;0,017241;0,015152;0,018116;0,016260;0,015152;0,017241;0,018116;0,015152;0,017241;0,016260;0,015152;0,017241;0,016260;0,016260;0,016260;0,015152;0,016260;0,015152;0,017241;0,016260;0,016260;0,016260;0,015152;0,016260;0,014085;0,015152;0,016260;0,018116;0,016260;0,018116;0,020734;0,016260;0,017241;0,015152;0,016260;0,015152;0,020734;0,016260;0,016260;0,017241
180;0,016260;0,016260;0,016260;0,016260;0,015152;0,014085;0,016260;0,015152;0,014085;0,016260;0,015152;0,016260;0,015152;0,015152;0,015152;0,015152;0,016260;0,015152;0,016260;0,016260;0,017241;0,015152;0,014085;0,018116;0,017241;0,016260;0,015152;0,016260;0,016260;0,016260;0,016260;0,018116;0,016260;0,016260;0,017241;0,017241;0,017241;0,015152;0,015152;0,018116;0,018116;0,016260;0,017241;0,017241;0,017241;0,018116;0,017241;0,016260;0,017241
185;0,018116;0,016260;0,016260;0,015152;0,019097;0,016260;0,015152;0,017241;0,015152;0,015152;0,014085;0,019097;0,015152;0,017241;0,016260;0,017241;0,015152;0,015152;0,015152;0,015152;0,015152;0,015152;0,015152;0,016260;0,016260;0,019097;0,016260;0,017241;0,015152;0,015152;0,016260;0,015152;0,015152;0,014085;0,014085;0,016260;0,014085;0,015152;0,016260;0,015152;0,016260;0,015152;0,014085;0,016260;0,017241;0,014085;0,018116;0,016260;0,016260
190;0,017241;0,016260;0,019900;0,015152;0,015152;0,014085;0,015152;0,015152;0,018116;0,016260;0,017241;0,016260;0,015152;0,015152;0,016260;0,018116;0,016260;0,015152;0,016260;0,016260;0,015152;0,014085;0,015152;0,016260;0,017241;0,019097;0,018116;0,016260;0,018116;0,014085;0,016260;0,015152;0,015152;0,015152;0,017241;0,014085;0,019097;0,014085;0,014085;0,016260;0,015152;0,017241;0,016260;0,020734;0,016260;0,012821;0,016260;0,015152;0,015152
195;0,014085;0,017241;0,015152;0,017241;0,014085;0,018116;0,015152;0,014085;0,017241;0,017241;0,017241;0,016260;0,014085;0,015152;0,016260;0,017241;0,018116;0,019097;0,015152;0,016260;0,014085;0,016260;0,015152;0,016260;0,015152;0,016260;0,015152;0,015152;0,014085;0,019097;0,016260;0,015152;0,016260;0,017241;0,018116;0,015152;0,016260;0,015152;0,018116;0,014085;0,016260;0,016260;0,016260;0,014085;0,014085;0,016260;0,014085;0,014085;0,016260
200;0,014085;0,014085;0,016260;0,015152;0,017241;0,016260;0,015152;0,014085;0,012821;0,015152;0,015152;0,016260;0,016260;0,016260;0,015152;0,017241;0,019097;0,017241;0,014085;0,015152;0,017241;0,014085;0,015152;0,015152;0,015152;0,015152;0,016260;0,014085;0,015152;0,015152;0,015152;0,016260;0,018116;0,014085;0,012821;0,016260;0,018116;0,014085;0,015152;0,019097;0,019900;0,017241;0,016260;0,016260;0,015152;0,019900;0,012821;0,014085;0,014085
205;0,014085;0,014085;0,014085;0,016260;0,015152;0,015152;0,014085;0,014085;0,014085;0,015152;0,016260;0,014085;0,016260;0,016260;0,016260;0,014085;0,017241;0,015152;0,017241;0,014085;0,019097;0,012821;0,018116;0,017241;0,012821;0,014085;0,014085;0,017241;0,019097;0,017241;0,014085;0,016260;0,016260;0,016260;0,015152;0,015152;0,015152;0,014085;0,016260;0,017241;0,015152;0,016260;0,015152;0,014085;0,015152;0,015152;0,016260;0,012821;0,017241
210;0,014085;0,016260;0,014085;0,015152;0,017241;0,014085;0,017241;0,016260;0,015152;0,017241;0,014085;0,014085;0,015152;0,015152;0,014085;0,016260;0,014085;0,016260;0,016260;0,015152;0,016260;0,016260;0,016260;0,014085;0,015152;0,017241;0,015152;0,016260;0,015152;0,015152;0,016260;0,017241;0,016260;0,014085;0,015152;0,015152;0,014085;0,014085;0,016260;0,014085;0,015152;0,014085;0,014085;0,015152;0,016260;0,015152;0,015152;0,016260;0,018116
215;0,015152;0,015152;0,012821;0,018116;0,014085;0,015152;0,015152;0,012821;0,014085;0,012821;0,018116;0,012821;0,014085;0,017241;0,015152;0,014085;0,015152;0,015152;0,017241;0,018116;0,015152;0,014085;0,018116;0,015152;0,017241;0,014085;0,015152;0,014085;0,012821;0,014085;0,014085;0,015152;0,015152;0,014085;0,017241;0,015152;0,015152;0,014085;0,015152;0,015152;0,015152;0,016260;0,012821;0,016260;0,015152;0,012821;0,012821;0,016260;0,018116
220;0,016260;0,015152;0,012821;0,015152;0,015152;0,015152;0,014085;0,016260;0,014085;0,015152;0,015152;0,015152;0,015152;0,015152;0,015152;0,015152;0,015152;0,014085;0,016260;0,014085;0,015152;0,016260;0,015152;0,014085;0,014085;0,014085;0,012821;0,019900;0,015152;0,015152;0,014085;0,016260;0,017241;0,016260;0,012821;0,016260;0,015152;0,015152;0,016260;0,015152;0,017241;0,015152;0,016260;0,014085;0,014085;0,018116;0,015152;0,015152;0,012821
225;0,012821;0,015152;0,014085;0,015152;0,016260;0,015152;0,015152;0,015152;0,014085;0,015152;0,016260;0,014085;0,014085;0,014085;0,014085;0,014085;0,015152;0,016260;0,015152;0,015152;0,016260;0,012821;0,015152;0,014085;0,015152;0,015152;0,016260;0,014085;0,012821;0,015152;0,016260;0,019097;0,014085;0,016260;0,016260;0,015152;0,014085;0,015152;0,016260;0,014085;0,016260;0,017241;0,020734;0,014085;0,012821;0,016260;0,014085;0,015152;0,015152
230;0,015152;0,017241;0,014085;0,014085;0,012821;0,016260;0,016260;0,015152;0,012821;0,015152;0,016260;0,012821;0,015152;0,017241;0,015152;0,015152;0,016260;0,012821;0,012821;0,014085;0,014085;0,014085;0,015152;0,017241;0,012821;0,015152;0,019900;0,012821;0,012821;0,016260;0,016260;0,014085;0,015152;0,015152;0,015152;0,015152;0,015152;0,014085;0,014085;0,014085;0,015152;0,012821;0,015152;0,015152;0,014085;0,012821;0,014085;0,014085;0,015152
235;0,012821;0,016260;0,016260;0,014085;0,016260;0,015152;0,014085;0,014085;0,014085;0,014085;0,016260;0,015152;0,012821;0,015152;0,014085;0,015152;0,014085;0,015152;0,015152;0,012821;0,014085;0,017241;0,014085;0,014085;0,014085;0,016260;0,012821;0,015152;0,015152;0,014085;0,016260;0,015152;0,018116;0,016260;0,014085;0,016260;0,016260;0,012821;0,017241;0,014085;0,012821;0,015152;0,016260;0,015152;0,014085;0,014085;0,015152;0,014085;0,014085
240;0,014085;0,011494;0,014085;0,012821;0,014085;0,014085;0,015152;0,012821;0,014085;0,015152;0,015152;0,014085;0,012821;0,014085;0,014085;0,014085;0,014085;0,014085;0,012821;0,015152;0,014085;0,015152;0,015152;0,016260;0,012821;0,012821;0,016260;0,014085;0,014085;0,014085;0,017241;0,012821;0,012821;0,014085;0,012821;0,012821;0,014085;0,016260;0,014085;0,015152;0,018116;0,014085;0,015152;0,011494;0,015152;0,016260;0,016260;0,012821;0,014085
245;0,016260;0,016260;0,014085;0,016260;0,012821;0,015152;0,014085;0,012821;0,015152;0,014085;0,016260;0,015152;0,014085;0,014085;0,016260;0,015152;0,015152;0,015152;0,014085;0,014085;0,016260;0,014085;0,014085;0,014085;0,014085;0,015152;0,012821;0,014085;0,014085;0,017241;0,014085;0,014085;0,014085;0,014085;0,012821;0,015152;0,016260;0,014085;0,018116;0,011494;0,015152;0,016260;0,016260;0,014085;0,014085;0,014085;0,014085;0,014085;0,015152
250;0,015152;0,012821;0,012821;0,015152;0,012821;0,014085;0,015152;0,014085;0,014085;0,016260;0,015152;0,016260;0,011494;0,012821;0,016260;0,012821;0,014085;0,011494;0,014085;0,015152;0,012821;0,011494;0,012821;0,012821;0,015152;0,015152;0,015152;0,012821;0,015152;0,016260;0,014085;0,014085;0,014085;0,014085;0,011494;0,015152;0,015152;0,015152;0,014085;0,015152;0,012821;0,014085;0,017241;0,014085;0,014085;0,016260;0,012821;0,012821;0,014085
255;0,012821;0,014085;0,014085;0,012821;0,015152;0,014085;0,014085;0,015152;0,012821;0,015152;0,012821;0,014085;0,014085;0,012821;0,015152;0,015152;0,016260;0,012821;0,012821;0,016260;0,016260;0,014085;0,018116;0,014085;0,014085;0,015152;0,015152;0,012821;0,017241;0,016260;0,015152;0,015152;0,014085;0,014085;0,014085;0,015152;0,014085;0,014085;0,014085;0,012821;0,012821;0,015152;0,014085;0,015152;0,012821;0,014085;0,014085;0,012821;0,015152
260;0,016260;0,012821;0,017241;0,012821;0,015152;0,012821;0,015152;0,015152;0,012821;0,014085;0,014085;0,012821;0,019097;0,012821;0,015152;0,012821;0,014085;0,014085;0,014085;0,015152;0,014085;0,016260;0,014085;0,015152;0,015152;0,015152;0,012821;0,012821;0,015152;0,014085;0,016260;0,012821;0,011494;0,015152;0,012821;0,014085;0,014085;0,012821;0,015152;0,015152;0,014085;0,014085;0,015152;0,014085;0,015152;0,012821;0,014085;0,015152;0,014085
265;0,014085;0,014085;0,012821;0,012821;0,015152;0,011494;0,014085;0,011494;0,017241;0,017241;0,016260;0,014085;0,014085;0,014085;0,015152;0,015152;0,012821;0,011494;0,014085;0,014085;0,014085;0,016260;0,016260;0,016260;0,017241;0,012821;0,011494;0,011494;0,014085;0,018116;0,012821;0,016260;0,017241;0,015152;0,014085;0,012821;0,014085;0,014085;0,011494;0,012821;0,012821;0,014085;0,015152;0,015152;0,014085;0,012821;0,014085;0,015152;0,014085
270;0,012821;0,014085;0,012821;0,014085;0,012821;0,011494;0,012821;0,014085;0,014085;0,012821;0,014085;0,011494;0,012821;0,014085;0,015152;0,015152;0,012821;0,012821;0,015152;0,014085;0,014085;0,014085;0,014085;0,014085;0,015152;0,012821;0,014085;0,012821;0,014085;0,015152;0,014085;0,014085;0,014085;0,014085;0,015152;0,012821;0,012821;0,015152;0,012821;0,015152;0,014085;0,015152;0,014085;0,014085;0,012821;0,014085;0,017241;0,012821;0,012821
