;DMP_0.5;DMP_0.51;DMP_0.52;DMP_0.53;DMP_0.54;DMP_0.55;DMP_0.56;DMP_0.57;DMP_0.58;DMP_0.59;DMP_0.6;DMP_0.61;DMP_0.62;DMP_0.63;DMP_0.64;DMP_0.65;DMP_0.66;DMP_0.67;DMP_0.68;DMP_0.69;DMP_0.7;DMP_0.71;DMP_0.72;DMP_0.73;DMP_0.74;DMP_0.75;DMP_0.76;DMP_0.77;DMP_0.78;DMP_0.79;DMP_0.8;DMP_0.81;DMP_0.82;DMP_0.83;DMP_0.84;DMP_0.85;DMP_0.86;DMP_0.87;DMP_0.88;DMP_0.89;DMP_0.9;DMP_0.91;DMP_0.92;DMP_0.93;DMP_0.94;DMP_0.95;DMP_0.96;DMP_0.97;DMP_0.98
10;0,127925;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,136696;0,156450;0,138709;0,138849;0,333333
15;0,094585;0,099900;0,085759;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333
20;0,070892;0,068699;0,070349;0,064499;0,068413;0,071759;0,067260;0,068699;0,064182;0,060155;0,070175;0,068413;0,072022;0,065756;0,066467;0,063963;0,067260;0,065756;0,061588;0,068982;0,070175;0,075877;0,071595;0,068413;0,077188;0,073874;0,086873;0,068982;0,072284;0,333333;0,333333;0,333333;0,333333;0,082120;0,066265;0,073370;0,064928;0,068413;0,065240;0,078231;0,080970;0,063417;0,072284;0,072022;0,092091;0,077320;0,072284;0,333333;0,333333
25;0,055556;0,065240;0,051823;0,051823;0,057391;0,061002;0,059643;0,055556;0,052163;0,052163;0,057670;0,057670;0,051580;0,057010;0,057391;0,058219;0,055853;0,057010;0,059022;0,056147;0,059022;0,059384;0,052163;0,054952;0,065449;0,051823;0,061828;0,067454;0,059643;0,059643;0,059022;0,056437;0,063191;0,060155;0,060155;0,057946;0,059384;0,062065;0,065962;0,057391;0,062863;0,053704;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333
30;0,044294;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,050881;0,050525;0,049900;0,044985;0,044294;0,046495;0,045322;0,053158;0,057391;0,051580;0,047519;0,050265;0,049531;0,049258;0,046809;0,050265;0,053704;0,046076;0,047817;0,054021;0,050265;0,045322;0,047117;0,052830;0,044643;0,052498;0,056147;0,052498;0,052163;0,046809;0,048209;0,064499;0,046809;0,057391;0,061588
35;0,039463;0,041567;0,044985;0,042735;0,040329;0,041567;0,045322;0,038194;0,044294;0,039900;0,042353;0,040329;0,043840;0,039463;0,040329;0,044643;0,039016;0,041162;0,043840;0,038194;0,044643;0,039016;0,053704;0,046809;0,038660;0,042353;0,039463;0,043110;0,039900;0,046495;0,047117;0,042735;0,042353;0,041567;0,047817;0,044294;0,044985;0,047117;0,046809;0,043840;0,042735;0,039900;0,042353;0,043110;0,045322;0,039016;0,046809;0,048597;0,045322
40;0,035912;0,036837;0,037719;0,035481;0,037333;0,036430;0,034582;0,035912;0,039900;0,035912;0,034582;0,037333;0,038660;0,036837;0,035912;0,038194;0,037333;0,037333;0,036430;0,037333;0,038660;0,036837;0,041964;0,036430;0,036430;0,044643;0,039463;0,036430;0,038194;0,039900;0,037719;0,037333;0,038660;0,039016;0,039463;0,034582;0,041162;0,040750;0,036837;0,033531;0,037333;0,038660;0,043840;0,038194;0,039463;0,037719;0,043478;0,048209;0,048597
45;0,034014;0,038194;0,035038;0,035912;0,034582;0,034014;0,035481;0,033531;0,031546;0,033033;0,030402;0,037719;0,034014;0,034014;0,037333;0,036837;0,030983;0,030983;0,035912;0,041567;0,040750;0,034582;0,041162;0,033033;0,032520;0,034014;0,035912;0,034014;0,035912;0,033531;0,034582;0,035912;0,034582;0,034014;0,037333;0,037333;0,033531;0,035481;0,036430;0,035038;0,033531;0,035912;0,036837;0,035481;0,034014;0,036837;0,034014;0,036430;0,038660
50;0,030983;0,030983;0,032091;0,029900;0,032091;0,030402;0,032520;0,030402;0,035481;0,028736;0,029900;0,034582;0,029379;0,029900;0,035481;0,030402;0,034582;0,030402;0,032520;0,030983;0,032520;0,031546;0,029379;0,032091;0,030402;0,035038;0,033033;0,032091;0,036430;0,029900;0,029900;0,029379;0,033531;0,031546;0,030402;0,032091;0,035912;0,034582;0,031546;0,035481;0,031546;0,035481;0,032091;0,033033;0,034014;0,038660;0,035038;0,035038;0,029379
55;0,031546;0,029379;0,031546;0,028736;0,030983;0,028736;0,029379;0,028169;0,029900;0,026961;0,029379;0,031546;0,028736;0,030983;0,031546;0,028736;0,030983;0,030402;0,031546;0,027578;0,026316;0,029379;0,029379;0,030983;0,026961;0,030983;0,032520;0,028736;0,035038;0,032091;0,035481;0,030983;0,033033;0,029379;0,029900;0,029900;0,032091;0,031546;0,028736;0,029379;0,029900;0,033531;0,033033;0,035481;0,033531;0,035038;0,032091;0,028736;0,027578
