;DMP_0.5;DMP_0.51;DMP_0.52;DMP_0.53;DMP_0.54;DMP_0.55;DMP_0.56;DMP_0.57;DMP_0.58;DMP_0.59;DMP_0.6;DMP_0.61;DMP_0.62;DMP_0.63;DMP_0.64;DMP_0.65;DMP_0.66;DMP_0.67;DMP_0.68;DMP_0.69;DMP_0.7;DMP_0.71;DMP_0.72;DMP_0.73;DMP_0.74;DMP_0.75;DMP_0.76;DMP_0.77;DMP_0.78;DMP_0.79;DMP_0.8;DMP_0.81;DMP_0.82;DMP_0.83;DMP_0.84;DMP_0.85;DMP_0.86;DMP_0.87;DMP_0.88;DMP_0.89;DMP_0.9;DMP_0.91;DMP_0.92;DMP_0.93;DMP_0.94;DMP_0.95;DMP_0.96;DMP_0.97;DMP_0.98
P_10;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,162903;0,132934;0,135211;0,127599;0,146482;0,2;0,2;0,2;0,2;0,2;0,169935;0,2;0,2;0,2;0,163032;0,148984;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2
P_15;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,2;0,1;0,1;0,102632;0,1;0,1;0,1;0,1;0,104;0,113699;0,104348;0,1;0,12471;0,1;0,1;0,1;0,105172;0,102326
P_20;0,069579;0,069745;0,1;0,1;0,1;0,1;0,1;0,0632;0,060969;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,102778;0,072632;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,070234;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,077293;0,1;0,1;0,088;0,1;0,1;0,1;0,1;0,1;0,1;0,1
P_25;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,059801;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,060969;0,057512;0,1;0,1
P_30;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,046237;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1
P_35;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,045633;0,1;0,1;0,043736;0,1;0,1;0,038875;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,037097;0,0399;0,1;0,041487;0,045987;0,1;0,1;0,1;0,1;0,1;0,1
P_40;0,1;0,1;0,1;0,1;0,03467;0,031875;0,030744;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,036685;0,1;0,1;0,1;0,035655;0,1;0,1;0,1;0,1;0,1;0,1;0,1
P_45;0,1;0,028014;0,1;0,1;0,1;0,028169;0,1;0,1;0,031546;0,1;0,1;0,1;0,1;0,1;0,030263;0,028866;0,1;0,032622;0,1;0,1;0,032198;0,030392;0,031988;0,029766;0,030392;0,035655;0,1;0,1;0,1;0,1;0,1;0,1;0,033531;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,034111;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1
P_50;0,026316;0,026766;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,027437;0,027698;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,027857;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1
P_55;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,027273;0,028866;0,1;0,02901;0,027857;0,026592;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,028169;0,1;0,1;0,1
